Building ID,Day,Start Time,End Time,Building,Estimated Occupancy
9,TTh,09:30:00,10:45:00,Jack Mack Wilson Student Center,720
2,TTh,11:00:00,12:15:00,Recreation and Wellness Center,320
3,TTh,11:00:00,12:15:00,Atrium,90
4,TTh,11:00:00,12:15:00,Academic Building,70
10,TTh,11:00:00,12:15:00,Engineering Lab,50
9,TTh,11:00:00,12:15:00,Jack Mack Wilson Student Center,600
2,TTh,12:30:00,13:45:00,Recreation and Wellness Center,352
3,TTh,12:30:00,13:45:00,Atrium,742
4,TTh,12:30:00,13:45:00,Academic Building,577
10,TTh,12:30:00,13:45:00,Engineering Lab,275
9,TTh,12:30:00,13:45:00,Jack Mack Wilson Student Center,660
2,TTh,14:00:00,15:15:00,Recreation and Wellness Center,560
3,TTh,14:00:00,15:15:00,Atrium,675
4,TTh,14:00:00,15:15:00,Academic Building,525
10,TTh,14:00:00,15:15:00,Engineering Lab,250
9,TTh,14:00:00,15:15:00,Jack Mack Wilson Student Center,600
2,TTh,15:30:00,16:45:00,Recreation and Wellness Center,560
3,TTh,15:30:00,16:45:00,Atrium,90
4,TTh,15:30:00,16:45:00,Academic Building,70
10,TTh,15:30:00,16:45:00,Engineering Lab,50
9,TTh,15:30:00,16:45:00,Jack Mack Wilson Student Center,600
2,TTh,17:00:00,18:15:00,Recreation and Wellness Center,600
3,TTh,17:00:00,18:15:00,Atrium,675
4,TTh,17:00:00,18:15:00,Academic Building,525
10,TTh,17:00:00,18:15:00,Engineering Lab,375
9,TTh,17:00:00,18:15:00,Jack Mack Wilson Student Center,900
2,TTh,18:30:00,19:45:00,Recreation and Wellness Center,400
3,TTh,18:30:00,19:45:00,Atrium,450
4,TTh,18:30:00,19:45:00,Academic Building,350
10,TTh,18:30:00,19:45:00,Engineering Lab,250
9,TTh,18:30:00,19:45:00,Jack Mack Wilson Student Center,600
2,TTh,20:00:00,21:15:00,Recreation and Wellness Center,160
3,TTh,20:00:00,21:15:00,Atrium,180
4,TTh,20:00:00,21:15:00,Academic Building,140
10,TTh,20:00:00,21:15:00,Engineering Lab,100
9,TTh,20:00:00,21:15:00,Jack Mack Wilson Student Center,240
2,TTh,21:30:00,22:45:00,Recreation and Wellness Center,80
3,TTh,21:30:00,22:45:00,Atrium,90
4,TTh,21:30:00,22:45:00,Academic Building,70
10,TTh,21:30:00,22:45:00,Engineering Lab,50
9,TTh,21:30:00,22:45:00,Jack Mack Wilson Student Center,120
2,TTh,23:00:00,23:59:00,Recreation and Wellness Center,8
3,TTh,23:00:00,23:59:00,Atrium,9
4,TTh,23:00:00,23:59:00,Academic Building,7
10,TTh,23:00:00,23:59:00,Engineering Lab,5
9,TTh,23:00:00,23:59:00,Jack Mack Wilson Student Center,12
2,SSu,00:00:00,00:59:00,Recreation and Wellness Center,240
3,SSu,00:00:00,00:59:00,Atrium,90
4,SSu,00:00:00,00:59:00,Academic Building,70
10,SSu,00:00:00,00:59:00,Engineering Lab,50
9,SSu,00:00:00,00:59:00,Jack Mack Wilson Student Center,300
2,SSu,01:00:00,01:59:00,Recreation and Wellness Center,240
3,SSu,01:00:00,01:59:00,Atrium,90
4,SSu,01:00:00,01:59:00,Academic Building,70
10,SSu,01:00:00,01:59:00,Engineering Lab,50
9,SSu,01:00:00,01:59:00,Jack Mack Wilson Student Center,300
2,SSu,02:00:00,02:59:00,Recreation and Wellness Center,240
3,SSu,02:00:00,02:59:00,Atrium,90
4,SSu,02:00:00,02:59:00,Academic Building,70
10,SSu,02:00:00,02:59:00,Engineering Lab,50
9,SSu,02:00:00,02:59:00,Jack Mack Wilson Student Center,300
2,SSu,03:00:00,03:59:00,Recreation and Wellness Center,240
3,SSu,03:00:00,03:59:00,Atrium,90
4,SSu,03:00:00,03:59:00,Academic Building,70
10,SSu,03:00:00,03:59:00,Engineering Lab,50
9,SSu,03:00:00,03:59:00,Jack Mack Wilson Student Center,300
2,SSu,04:00:00,04:59:00,Recreation and Wellness Center,240
3,SSu,04:00:00,04:59:00,Atrium,90
4,SSu,04:00:00,04:59:00,Academic Building,70
10,SSu,04:00:00,04:59:00,Engineering Lab,50
9,SSu,04:00:00,04:59:00,Jack Mack Wilson Student Center,300
2,SSu,05:00:00,05:59:00,Recreation and Wellness Center,240
3,SSu,05:00:00,05:59:00,Atrium,90
4,SSu,05:00:00,05:59:00,Academic Building,70
10,SSu,05:00:00,05:59:00,Engineering Lab,50
9,SSu,05:00:00,05:59:00,Jack Mack Wilson Student Center,300
2,SSu,06:00:00,06:59:00,Recreation and Wellness Center,240
3,SSu,06:00:00,06:59:00,Atrium,90
4,SSu,06:00:00,06:59:00,Academic Building,70
10,SSu,06:00:00,06:59:00,Engineering Lab,50
9,SSu,06:00:00,06:59:00,Jack Mack Wilson Student Center,300
2,SSu,07:00:00,07:59:00,Recreation and Wellness Center,240
3,SSu,07:00:00,07:59:00,Atrium,90
4,SSu,07:00:00,07:59:00,Academic Building,70
10,SSu,07:00:00,07:59:00,Engineering Lab,50
9,SSu,07:00:00,07:59:00,Jack Mack Wilson Student Center,300
2,SSu,08:00:00,08:59:00,Recreation and Wellness Center,264
3,SSu,08:00:00,08:59:00,Atrium,99
4,SSu,08:00:00,08:59:00,Academic Building,77
10,SSu,08:00:00,08:59:00,Engineering Lab,55
9,SSu,08:00:00,08:59:00,Jack Mack Wilson Student Center,330
2,SSu,09:00:00,09:59:00,Recreation and Wellness Center,288
3,SSu,09:00:00,09:59:00,Atrium,108
4,SSu,09:00:00,09:59:00,Academic Building,84
10,SSu,09:00:00,09:59:00,Engineering Lab,60
9,SSu,09:00:00,09:59:00,Jack Mack Wilson Student Center,360
2,SSu,10:00:00,10:59:00,Recreation and Wellness Center,240
3,SSu,10:00:00,10:59:00,Atrium,90
4,SSu,10:00:00,10:59:00,Academic Building,70
10,SSu,10:00:00,10:59:00,Engineering Lab,50
9,SSu,10:00:00,10:59:00,Jack Mack Wilson Student Center,300
2,SSu,11:00:00,11:59:00,Recreation and Wellness Center,240
3,SSu,11:00:00,11:59:00,Atrium,90
4,SSu,11:00:00,11:59:00,Academic Building,70
10,SSu,11:00:00,11:59:00,Engineering Lab,50
9,SSu,11:00:00,11:59:00,Jack Mack Wilson Student Center,300
2,SSu,12:00:00,12:59:00,Recreation and Wellness Center,264
3,SSu,12:00:00,12:59:00,Atrium,99
4,SSu,12:00:00,12:59:00,Academic Building,77
10,SSu,12:00:00,12:59:00,Engineering Lab,55
9,SSu,12:00:00,12:59:00,Jack Mack Wilson Student Center,330
2,SSu,13:00:00,13:59:00,Recreation and Wellness Center,288
3,SSu,13:00:00,13:59:00,Atrium,108
4,SSu,13:00:00,13:59:00,Academic Building,84
10,SSu,13:00:00,13:59:00,Engineering Lab,60
9,SSu,13:00:00,13:59:00,Jack Mack Wilson Student Center,360
2,SSu,14:00:00,14:59:00,Recreation and Wellness Center,240
3,SSu,14:00:00,14:59:00,Atrium,90
4,SSu,14:00:00,14:59:00,Academic Building,70
10,SSu,14:00:00,14:59:00,Engineering Lab,50
9,SSu,14:00:00,14:59:00,Jack Mack Wilson Student Center,300
2,SSu,15:00:00,15:59:00,Recreation and Wellness Center,240
3,SSu,15:00:00,15:59:00,Atrium,90
4,SSu,15:00:00,15:59:00,Academic Building,70
10,SSu,15:00:00,15:59:00,Engineering Lab,50
9,SSu,15:00:00,15:59:00,Jack Mack Wilson Student Center,300
2,SSu,16:00:00,16:59:00,Recreation and Wellness Center,240
3,SSu,16:00:00,16:59:00,Atrium,90
4,SSu,16:00:00,16:59:00,Academic Building,70
10,SSu,16:00:00,16:59:00,Engineering Lab,50
9,SSu,16:00:00,16:59:00,Jack Mack Wilson Student Center,300
2,SSu,17:00:00,17:59:00,Recreation and Wellness Center,240
3,SSu,17:00:00,17:59:00,Atrium,90
4,SSu,17:00:00,17:59:00,Academic Building,70
10,SSu,17:00:00,17:59:00,Engineering Lab,50
9,SSu,17:00:00,17:59:00,Jack Mack Wilson Student Center,300
2,SSu,18:00:00,18:59:00,Recreation and Wellness Center,240
3,SSu,18:00:00,18:59:00,Atrium,90
4,SSu,18:00:00,18:59:00,Academic Building,70
10,SSu,18:00:00,18:59:00,Engineering Lab,50
9,SSu,18:00:00,18:59:00,Jack Mack Wilson Student Center,300
2,SSu,19:00:00,19:59:00,Recreation and Wellness Center,240
3,SSu,19:00:00,19:59:00,Atrium,90
4,SSu,19:00:00,19:59:00,Academic Building,70
10,SSu,19:00:00,19:59:00,Engineering Lab,50
9,SSu,19:00:00,19:59:00,Jack Mack Wilson Student Center,300
2,SSu,20:00:00,20:59:00,Recreation and Wellness Center,240
3,SSu,20:00:00,20:59:00,Atrium,90
4,SSu,20:00:00,20:59:00,Academic Building,70
10,SSu,20:00:00,20:59:00,Engineering Lab,50
9,SSu,20:00:00,20:59:00,Jack Mack Wilson Student Center,300
2,SSu,21:00:00,21:59:00,Recreation and Wellness Center,240
3,SSu,21:00:00,21:59:00,Atrium,90
4,SSu,21:00:00,21:59:00,Academic Building,70
10,SSu,21:00:00,21:59:00,Engineering Lab,50
9,SSu,21:00:00,21:59:00,Jack Mack Wilson Student Center,300
2,SSu,22:00:00,22:59:00,Recreation and Wellness Center,240
3,SSu,22:00:00,22:59:00,Atrium,90
4,SSu,22:00:00,22:59:00,Academic Building,70
10,SSu,22:00:00,22:59:00,Engineering Lab,50
9,SSu,22:00:00,22:59:00,Jack Mack Wilson Student Center,300
2,SSu,23:00:00,23:59:00,Recreation and Wellness Center,240
3,SSu,23:00:00,23:59:00,Atrium,90
4,SSu,23:00:00,23:59:00,Academic Building,70
10,SSu,23:00:00,23:59:00,Engineering Lab,50
9,SSu,23:00:00,23:59:00,Jack Mack Wilson Student Center,300
